Gamma,Min Delay,Max Delay,Avg Delay,StdDev Delay,Min Throughput,Max Throughput,Avg Throughput,StdDev Throughput,Min Packet Drop,Max Packet Drop,Avg Packet Drop,StdDev Packet Drop,Min Reward,Max Reward,Avg Reward,StdDev Reward
0.1,8.34,3464.7,1481.0549002849004,1046.6165707935968,0.022,2.46825,1.6720420227920227,0.7167521409825232,13.37,99.24,40.89336182336182,25.340615284561224,-16.894493333333337,1.582653333333329,-3.7102969230769256,4.686220325181099
0.1,8.34,5480.61,2714.647863247864,1578.4666726730704,0.022,2.60725,2.069281339031339,0.6476314167868311,9.57,99.24,26.880413105413105,22.867867626264673,-16.894493333333337,1.6550000000000034,-5.5245077397910745,4.853760766341618
0.25,8.92,4736.32,1892.2744444444443,1371.7702333082254,0.0275,2.5595,1.863840455840456,0.5767042038954419,10.28,99.0,34.11014245014245,20.36503498247076,-16.183906666666662,2.1767666666666705,-2.975477834757828,4.139943653148056
0.25,8.92,5977.59,3419.3289601139604,1841.7959446644834,0.0275,2.62375,2.2010117521367523,0.5296959965637884,9.02,99.0,22.205826210826213,18.6930387453926,-19.20541333333332,2.1767666666666705,-8.209988755935411,6.2782634663185055
0.4,1594.64,4338.43,3265.4437606837605,563.3863588674624,2.065,2.56525,2.4164900284900286,0.07989354945988024,10.8,26.88,14.639572649572651,2.6561909813908944,-9.799993333333326,1.7240400000000033,-4.111318328584992,2.43931374458648
0.4,1594.64,4338.43,3209.4669943019944,474.82122439096366,2.065,2.56525,2.413911324786325,0.0650486002559124,10.8,26.88,14.705313390313389,2.1413996411585656,-9.799993333333326,1.7240400000000033,-3.955015783475777,2.087360485555808
0.5499999999999999,1728.99,5048.99,3776.5950142450147,871.9582437566602,2.123,2.578,2.452111823361823,0.10342655945483227,9.59,25.28,13.403960113960114,3.517388306660725,-13.860753333333328,0.724699999999997,-7.440077283950619,3.982896056270739
0.5499999999999999,826.16,5048.99,3593.692507122507,1112.7094385850341,1.51875,2.579,2.4014341168091167,0.19865383414286664,9.59,45.93,15.159786324786324,6.947751267506676,-13.860753333333328,1.0370466666666918,-6.996137787274448,4.330624825253483
0.7,285.23,3604.55,2033.4127350427354,741.3473795239264,0.68575,2.515,2.132757834757835,0.2923838023317417,12.75,75.61,24.661225071225072,10.253663562255124,-9.390393333333336,1.9072866666666575,-0.5885328395061784,1.83572866981014
0.7,8.05,3604.55,1956.7636752136752,730.2073548215573,0.02225,2.515,2.082033831908832,0.430307545692997,12.75,99.2,26.44631054131054,15.159283069080852,-17.11727333333334,1.9072866666666575,-1.0670166951567008,2.963463793222941
0.85,8.76,3865.58,2025.0872364672368,957.5783741596167,0.02175,2.5195,2.027662393162393,0.5448495682076284,12.41,99.21,28.34247863247863,19.211950470083146,-16.567633333333333,1.5300666666666674,-1.9236160873694217,3.557078978863611
0.85,8.76,3865.58,1710.285284900285,772.4531754277003,0.02175,2.5195,1.986750356125356,0.4009355069280908,12.41,99.21,29.76008547008547,14.128680827664585,-16.567633333333333,2.0741999999999945,-0.5024983665717007,2.9195603326559243
